season,n,favorite_roi,underdog_roi
2009,28,-15.733039386096914,27.071428571428573
2010,72,4.48535655391586,-43.76388888888889
2011,70,-7.076599854322973,24.099378881987583
2012,62,-0.6318471776654743,-19.177419354838708
2013,76,6.615433627987653,-57.92105263157895
2014,77,0.8993402127345778,-19.545454545454543
2015,78,4.170523153561293,-32.19230769230769
2016,50,-3.2286361076474175,3.4834319526627224
2017,75,-10.260707892879685,15.64
2018,80,-8.112893135715145,-9.343852459016395
2019,67,-4.277330726535061,-5.164179104477612
2020,56,-9.026185786442731,12.362179487179487
2021,40,10.87106092903414,-45.60000000000001
2022,73,1.0807711704413012,-19.81636780266917
2023,60,-4.630334736069886,-16.666666666666664
2024,60,-9.258714188716425,0.1999999999999987
2025,67,-13.03288892086116,3.8113975576662145
