season,n,favorite_roi,underdog_roi
2009,24,-19.85244482517309,-1.5082644232391706
2010,81,11.658553712845835,-25.17825284414497
2011,81,-21.010837460480616,6.245966404917929
2012,65,-11.505731768662839,-7.658021267432781
2013,79,11.845213495647448,-26.214195055020973
2014,91,-21.598527269985958,10.89953012132616
2015,73,-5.7468219941553365,-2.7253790329532417
2016,83,10.908658811591966,0.3749257231099739
2017,107,-14.990877619433157,9.935806143406923
2018,91,12.010781933353083,-20.23613632081787
2019,85,-13.620292375758108,5.822754677648166
2020,65,2.2405777828770406,-19.08829786968255
2021,76,-2.1053885295500363,-8.214881803412469
2022,84,-10.556404250955529,0.7729342031506885
2023,93,0.21066940501348247,-6.336400203382135
2024,74,-10.960782240467578,-2.3287645239462376
2025,94,-8.380143285230249,-7.656213621754031
