season,n,favorite_roi,underdog_roi
2009,6,4.4980549223591275,-8.333333333333332
2010,15,17.671923639572405,-51.86666666666666
2011,16,5.004225478201481,39.6875
2012,7,6.580086731584138,-26.428571428571423
2013,7,15.421547978590791,-6.857142857142863
2014,10,4.218972290810926,-7.299999999999995
2015,14,-15.708703028717569,34.5
2016,23,4.950809891984373,8.478260869565213
2017,7,-17.28782491724021,164.42857142857144
2018,3,-14.326797385620916,-41.97530864197531
2019,9,-23.99694326509682,77.66666666666667
2020,14,1.3505668021027437,-53.35714285714286
2021,1,14.005602240896359,-100.0
2022,5,-1.797755566728344,82.19999999999999
2023,1,14.005602240896359,-100.0
2024,24,-6.328507208693722,24.875000000000004
2025,8,-3.375074714991727,-45.25
