season,n,favorite_roi,underdog_roi
2009,25,3.1594352202773472,-13.900925226368377
2010,69,1.946821381671911,-21.004013365313067
2011,89,-2.3232378594809284,-21.626126711430462
2012,60,-8.842127652519018,6.917721473126198
2013,82,-16.819396995156453,7.868187109989186
2014,81,-0.9769304781183155,-10.647578716459616
2015,79,-18.558337589709815,0.7308719617964938
2016,60,-7.835023546533101,-1.9511157031090611
2017,61,-11.688523661562382,9.84747932361699
2018,82,-0.891006096471014,-18.641281896270463
2019,86,-2.279398446290071,-1.516533495980432
2020,64,10.8092468200294,-17.449286109175617
2021,71,1.873300395055064,-16.43937036524138
2022,73,8.454605985243182,-31.558974835972826
2023,61,-7.551130174552815,-9.97956545084851
2024,58,3.5166148516217697,-32.69241849804376
2025,65,-7.961373542441925,-6.090900357681299
