season,n,favorite_roi,underdog_roi
2009,14,12.134313562884993,-34.28571428571429
2010,29,-17.9244665451562,24.27586206896552
2011,4,-62.5,120.0
2012,15,-15.66164766164766,10.600000000000001
2013,30,0.15252115252115248,-10.333333333333332
2014,3,-51.651651651651655,75.0
2015,19,-23.52391576219365,25.736842105263158
2016,9,-67.10383853240995,106.9059829059829
2017,23,-1.7763792033918064,-24.250517598343684
2018,58,-5.223430022914315,-4.879310344827586
2019,72,2.2779977389422346,-23.763888888888886
2020,40,-17.075177866103168,18.0
2021,52,9.89495862537672,-38.82692307692308
2022,72,-9.938362527781377,13.666666666666666
2023,59,-4.609367932788199,-1.8983050847457612
2024,34,-9.294450560654894,6.2941176470588225
2025,34,12.060774811770187,-44.26470588235294
