season,n,favorite_roi,underdog_roi
2009,185,-11.574009321600908,-0.09522063196147552
2010,188,-2.9950080708845124,-12.628012060443211
2011,181,-0.2603716712225487,-13.070329998506795
2012,173,-5.070902482493269,-8.91353244126109
2013,216,-4.247748311884016,-11.063146479813147
2014,136,-2.6621269945920947,-13.417972898347564
2015,118,10.54413597925196,-26.976686287412967
2016,204,-7.415534774376617,-2.8618434845632743
2017,154,-9.005573257671566,3.3849457138227192
2018,207,-2.62997828953353,-12.475826651238945
2019,159,-1.2143097448093847,-15.37639090469279
2020,75,7.792690100790425,-22.15437615846751
2021,184,-7.057316394723599,1.0009792401096749
2022,231,-0.20767061980872195,-11.318876092460998
2023,148,-1.1757897934992902,-10.393223308942515
2024,128,-12.508783877382266,11.219432645631068
2025,127,-11.883587907172894,4.355706750248451
