season,n,favorite_roi,underdog_roi
2009,85,-9.009687715570069,-3.3529411764705896
2010,54,-19.73007473007473,18.425925925925924
2011,64,-10.711622274122274,5.468749999999998
2012,71,5.9036826642460465,-26.338028169014088
2013,58,9.207350586660933,-30.948275862068964
2014,59,9.482735923413891,-32.32203389830509
2015,70,-0.42414857967384284,-15.885714285714286
2016,82,-14.995527276903587,10.634146341463413
2017,88,-8.185466744952691,-2.9772727272727275
2018,128,-3.291018531965423,-11.7421875
2019,153,-6.589487758791951,-6.568627450980393
2020,62,-13.705550604560093,10.838709677419352
2021,155,-5.597657301113658,-0.4645161290322585
2022,148,5.8983210407132916,-20.45945945945946
2023,132,-15.047223343573785,18.318181818181817
2024,82,6.5800702074189585,-23.146341463414636
2025,74,-10.844965483864708,4.85135135135135
