season,n,favorite_roi,underdog_roi
2009,279,-6.3489862741613905,-6.693499951564466
2010,277,-8.002184010198384,-4.587602042475687
2011,294,4.155382512695812,-19.699240056382912
2012,286,-11.60308480845177,-1.2877842877842869
2013,299,-2.462474625299126,-11.178583265539787
2014,338,-8.436697072990672,-3.1431617585463734
2015,359,-1.9806461142506837,-9.747542334270177
2016,324,-5.583107512870187,-4.947512503054479
2017,306,-6.724739129067333,-5.824305810420129
2018,292,-11.020949187130888,1.0847937247496882
2019,274,-0.6931317062743817,-11.417496184775015
2020,99,-20.042516087752595,13.345523198574824
2021,311,2.211953526999904,-12.030224137804765
2022,312,-9.262139196699035,1.8332099015501269
2023,333,-0.439690666356886,-7.376348847666855
2024,333,-1.718502890289322,-6.5557408163668045
2025,360,-16.954534509893087,9.972010990334235
