season,n,favorite_roi,underdog_roi
2009,279,-6.349,-6.693
2010,277,-8.002,-4.588
2011,294,4.155,-19.699
2012,286,-11.603,-1.288
2013,299,-2.462,-11.179
2014,338,-8.437,-3.143
2015,359,-1.981,-9.748
2016,324,-5.583,-4.948
2017,306,-6.725,-5.824
2018,292,-11.021,1.085
2019,274,-0.693,-11.417
2020,99,-20.043,13.346
2021,311,2.212,-12.030
2022,312,-9.262,1.833
2023,333,-0.440,-7.376
2024,333,-1.719,-6.556
2025,360,-16.955,9.972
