bin,n,favorite_roi,underdog_roi
0,19,-15.8901,4.4832
1,10,-1.7091,-15.4857
2,43,-1.0802,-14.8113
3,58,-2.0339,-18.7298
4,74,-29.9122,17.5135
5,77,10.1121,-40.4545
6,58,1.9182,-24.5179
7,41,-8.7258,33.3409
8,11,7.7278,0.0
9,13,-8.1408,-47.7692
