bin,ml_winrate,bt_winrate
0,,
1,,0.3448275862068966
2,0.23577235772357724,0.3859416445623342
3,0.37209302325581395,0.47073170731707314
4,0.43895870736086173,0.4972305070302514
5,0.5422086908386382,0.5714285714285714
6,0.6430062630480167,0.6282051282051282
7,0.7752442996742671,0.7248968363136176
8,0.7647058823529411,0.6974789915966386
9,,0.3333333333333333
