bin,ml_winrate,bt_winrate
0,0.094,0.180
1,0.149,0.282
2,0.251,0.355
3,0.343,0.461
4,0.425,0.530
5,0.536,0.616
6,0.656,0.705
7,0.755,0.798
8,0.844,0.860
9,0.926,0.906
