bin,mlb,nba,nfl,nhl
0,,0.125,0.000,
1,1.000,0.150,0.123,
2,0.261,0.237,0.218,0.236
3,0.365,0.341,0.327,0.372
4,0.453,0.433,0.394,0.439
5,0.554,0.537,0.578,0.542
6,0.644,0.657,0.645,0.643
7,0.740,0.754,0.770,0.775
8,0.750,0.849,0.863,0.765
9,,0.943,0.833,
