bin,ml_winrate,bt_winrate
0,0.000,0.295
1,0.145,0.368
2,0.208,0.438
3,0.331,0.493
4,0.396,0.536
5,0.569,0.550
6,0.642,0.628
7,0.771,0.690
8,0.851,0.748
9,0.933,0.786
