bin,ml_winrate,bt_winrate
0,,
1,,0.342
2,0.228,0.389
3,0.370,0.464
4,0.437,0.500
5,0.540,0.571
6,0.649,0.634
7,0.765,0.715
8,0.750,0.721
9,,0.333
