bin,ml_winrate,bt_winrate
0,,
1,,0.2926829268292683
2,0.2717391304347826,0.351985559566787
3,0.3623003194888179,0.44599659284497445
4,0.45606776989755715,0.49515519789784856
5,0.5511581733951025,0.5772604050390687
6,0.6424311926605505,0.6400142146410803
7,0.7461538461538462,0.6790123456790124
8,0.6666666666666666,0.7333333333333333
9,,
