bin,n,favorite_roi,underdog_roi
0,111,4.0372,-21.8145
1,95,5.2849,-16.2382
2,213,-5.6179,-6.1294
3,353,-5.689,-4.181
4,413,-2.9813,-6.608
5,458,-2.0655,-7.7012
6,313,1.1733,-14.206
7,201,-13.5476,7.6906
8,131,3.8678,-15.6766
9,119,-12.8317,8.7469
