bin,n,favorite_roi,underdog_roi
0,111,-9.2612,-0.3362
1,65,-15.549,7.8958
2,181,5.0853,-12.5999
3,342,-0.3831,-6.3758
4,509,-5.1923,-1.0083
5,482,-0.0518,-7.8346
6,349,-3.0415,-5.2863
7,185,8.6759,-21.222
8,67,-10.2238,-2.6759
9,109,3.8151,-14.5145
