season,mlb_brier,nba_brier,nfl_brier,nhl_brier
2008,0.24211870158090182,,,
2009,0.24193699983143988,0.18533494973642775,0.21258384714164702,0.23958510508581116
2010,0.2410666249672169,0.19759708758787495,0.19563722569991504,0.2415628020076673
2011,0.24197343724352277,0.1952504140915246,0.2181454204971306,0.24354098033108756
2012,0.24181202333068277,0.20036732425007425,0.20219229234436964,0.24146918896223674
2013,0.24121963494440019,0.19773750265245815,0.20783486072340543,0.23883989081810142
2014,0.24198626752420804,0.20055145505376656,0.20343968088032077,0.24026799607779253
2015,0.24216019831357985,0.1960833308056213,0.2077148233148453,0.2361197080664358
2016,0.2405318909285451,0.19522250241390615,0.22939670244924715,0.24226421559915293
2017,0.24092449306624597,0.21133291765737722,0.22714555634252484,0.23702249723923616
2018,0.23808591689417363,0.2039209671688325,0.21335199353163428,0.2378136272839233
2019,0.23570881285277678,0.20363641392942924,0.2122648953771346,0.2401745784536371
2020,0.23941264432465456,0.21019144202990384,0.211615655540247,0.24340810200897173
2021,0.2386408117316464,0.2143913996431796,0.20109736011322762,0.23057671444516287
2022,0.23631327603507754,0.20865701206037524,0.2164888623967116,0.22545828811519217
2023,0.2415930152364995,0.21647769194323133,0.21087011044690077,0.23069534039890827
2024,0.24045307966574322,0.19813469564873043,0.21785213128615502,0.23222603255138743
2025,0.24190617899051967,0.19915945195226636,0.1992673382312611,0.23351297498664875
