league,min,q1,median,q3,max,iqr,lower_whisker,upper_whisker
mlb,0.26255333114537,3.7593984962405997,4.10220346929208,4.9122807017543995,11.22868900646678,1.1528822055137997,2.0300858726324,6.59967991552408
nba,0.90711175616835,3.9759295078444,4.23901524415097,4.509728288512868,25.37894590460297,0.5337987806684676,3.1764808973010696,5.30996946767556
nfl,0.16233766233766,4.004806712047907,4.29804353058487,4.6846292921086,19.54489661032952,0.6798225800606925,3.00204514325383,5.70224763594315
nhl,0.8503401360544199,3.49867827709533,3.73028279096205,4.40067242274619,9.09090909090908,0.90199414565086,2.16450216450216,5.73644234344292
