league,method,binary_accuracy
nba,ml_prob,0.6942564102564103
nfl,ml_prob,0.6838279830405815
nba,od_prob,0.6573333333333333
nba,massey_prob,0.6564102564102564
nba,keener_prob,0.6534358974358975
nfl,elo_prob,0.6474863718958207
nba,elowin_prob,0.6422564102564102
nba,elopoint_prob,0.6417435897435897
nfl,od_prob,0.6414294367050273
nfl,massey_prob,0.6414294367050273
nfl,keener_prob,0.6414294367050273
nfl,elopoint_prob,0.6414294367050273
nfl,elowin_prob,0.6226529376135675
nhl,ml_prob,0.5968109339407744
mlb,ml_prob,0.5862334166506441
nhl,massey_prob,0.5727893973907642
nhl,od_prob,0.57216815075585
nhl,keener_prob,0.571546904120936
mlb,od_prob,0.5665737358200346
mlb,massey_prob,0.5656123822341858
mlb,keener_prob,0.5632570659488559
nhl,elowin_prob,0.5608821702215779
nhl,elopoint_prob,0.5553944916131704
mlb,elowin_prob,0.5495577773505095
mlb,elopoint_prob,0.5489809651990002
