season,mlb,nba,nfl,nhl
2009,54.742096505823625,64.12556053811659,61.98347107438017,57.14285714285714
2010,56.21351125938282,62.64274061990211,57.14285714285714,54.35139573070607
2011,52.483443708609265,62.12624584717608,57.14285714285714,52.78688524590164
2012,52.152317880794705,58.70445344129555,59.84251968503938,56.209150326797385
2013,55.00000000000001,60.561056105610554,58.26771653543307,56.30252100840336
2014,51.05663567202029,57.25938009787929,62.20472440944882,53.996737357259384
2015,53.62563237774031,53.344208809135395,59.055118110236215,55.769230769230774
2016,52.05020920502093,58.79478827361564,59.055118110236215,54.23452768729642
2017,54.498714652956295,57.6797385620915,57.936507936507944,57.817589576547235
2018,51.209341117597994,57.65472312703584,54.330708661417326,57.43670886075949
2019,52.775476387738195,60.586319218241044,60.8,53.396524486571884
2020,53.21100917431193,57.088846880907376,48.8,54.629629629629626
2021,55.75146935348446,53.61781076066791,51.181102362204726,51.73210161662818
2022,51.73267326732673,54.72312703583062,47.76119402985074,55.41984732824427
2023,52.231404958677686,60.91205211726385,55.72519083969466,52.37366003062787
2024,53.33882934872217,58.19672131147541,55.639097744360896,53.282442748091604
2025,54.681027340513666,54.02298850574713,51.8796992481203,54.28134556574924
