season,n,favorite_roi,underdog_roi
2009,37,-1.9910138328308826,-7.137592137592137
2010,103,-19.269049328794978,13.642721438508834
2011,94,-14.832409000445818,5.628626692456481
2012,82,-13.66928982204578,7.4235033259423515
2013,102,-15.850686734999652,12.273610508904627
2014,85,9.31656034182507,-19.028052419900295
2015,93,-0.395299133858551,-7.602708118648868
2016,89,-3.537295588967162,-4.539979593907044
2017,94,-9.208253229984525,4.95566489504667
2018,93,-5.2551024458048445,-1.2593407582733418
2019,111,-18.711012363301478,14.855941697212977
2020,79,-10.495612902096562,6.006305930356564
2021,81,5.644307635959243,-11.650478362978966
2022,83,3.2922694675759123,-7.947848151380728
2023,101,7.291135747275216,-12.198019801980198
2024,92,-0.002829946774780159,-2.705571971295905
2025,71,-5.9400994348255685,2.9503688799463443
