season,n,favorite_roi,underdog_roi
2009,21,-1.277,-12.088
2010,74,14.191,-29.138
2011,88,-4.777,-7.111
2012,61,-5.454,-6.810
2013,73,0.875,-12.093
2014,87,-1.756,-12.014
2015,70,-5.227,-2.243
2016,71,-8.402,-2.081
2017,86,-8.323,-1.347
2018,89,-10.321,2.274
2019,67,-7.122,-1.899
2020,83,-6.330,-3.660
2021,87,11.962,-24.863
2022,83,8.160,-19.759
2023,93,1.159,-11.127
2024,79,-8.733,-1.633
2025,71,-9.029,0.946
