season,n,favorite_roi,underdog_roi
2009,3,-26.666666666666668,83.33333333333334
2010,10,15.700211694261299,-100.0
2011,15,-0.0026619760614079078,-16.666666666666664
2012,12,-3.2484478453287,-12.5
2013,11,-5.274177689388377,13.636363636363635
2014,24,-3.917496321412347,-1.4583333333333317
2015,22,5.68087026229174,-50.68181818181819
2016,27,-6.332401277873899,9.814814814814817
2017,15,-14.800970160078302,62.86666666666666
2018,17,7.646620753796752,-68.3529411764706
2019,22,-6.092602616274247,21.363636363636367
2020,21,-7.143292391178337,3.2857142857142834
2021,31,-6.09669944685747,20.774193548387096
2022,29,8.035388989262602,-47.96551724137931
2023,29,-3.8973694511976764,9.655172413793103
2024,59,-9.915525969695725,40.983050847457626
2025,43,11.46503089322017,-83.72093023255815
