team,brier_score
phi,0.184
por,0.187
gs,0.187
det,0.190
sa,0.191
hou,0.191
cle,0.192
phx,0.192
utah,0.193
okc,0.194
mil,0.194
lac,0.196
bkn,0.196
cha,0.197
mem,0.198
orl,0.199
den,0.199
wsh,0.201
ind,0.202
sac,0.202
min,0.204
tor,0.204
ny,0.204
lal,0.205
mia,0.206
bos,0.207
dal,0.207
atl,0.209
no,0.210
chi,0.212
