team,brier_score
sea,0.217
utah,0.223
col,0.225
fla,0.229
edm,0.229
tb,0.231
sj,0.231
ana,0.231
cbj,0.232
ari,0.233
nj,0.233
pit,0.234
chi,0.236
wsh,0.236
det,0.236
van,0.237
buf,0.237
nyr,0.237
stl,0.237
bos,0.238
nsh,0.238
mtl,0.238
car,0.239
dal,0.239
phi,0.239
wpg,0.240
la,0.241
tor,0.241
min,0.241
nyi,0.242
vgk,0.242
cgy,0.242
ott,0.245
