team,winrate
bos,56.899
stl,56.693
pit,56.487
wsh,55.994
tb,55.730
vgk,54.754
nyr,54.375
nsh,54.003
car,52.747
min,51.703
la,50.784
wpg,50.475
dal,50.313
ana,50.080
cgy,50.079
col,50.078
utah,50.000
fla,49.528
van,49.442
tor,49.214
ott,48.212
nyi,47.988
cbj,47.950
phi,47.950
edm,47.874
chi,46.582
sj,45.853
nj,45.710
det,45.055
mtl,44.340
ari,43.624
buf,43.396
sea,42.683
