team,brier_score
lad,0.230
col,0.232
cle,0.236
hou,0.236
bos,0.236
wsh,0.237
det,0.237
kc,0.237
pit,0.238
sf,0.239
sea,0.239
tor,0.239
laa,0.240
mia,0.240
min,0.240
chw,0.240
chc,0.240
nyy,0.240
atl,0.240
tex,0.240
sd,0.240
phi,0.240
tb,0.241
ari,0.241
nym,0.241
bal,0.242
stl,0.242
mil,0.242
cin,0.243
oak,0.244
