team,winrate
bos,61.882716049382715
den,59.42249240121581
mia,58.96656534954408
okc,58.769230769230774
gs,58.38414634146341
lac,56.92307692307692
sa,56.240369799691834
mil,54.17298937784521
tor,53.751914241960186
hou,52.86821705426357
mem,52.833078101071976
dal,52.69645608628659
ind,52.46913580246913
utah,51.23839009287926
por,50.92879256965944
atl,50.697674418604656
chi,50.621118012422365
cle,49.92272024729521
lal,49.61119751166407
phx,47.93261868300153
phi,45.75757575757576
no,45.16129032258064
ny,43.99375975039001
orl,42.87949921752739
bkn,41.896024464831804
cha,41.34762633996937
wsh,40.791476407914764
min,40.654205607476634
sac,39.54545454545455
det,37.32503888024883
