team,brier_score
sea,0.21702854001301722
utah,0.22257709852028654
col,0.2245142369663551
fla,0.22916949997077823
edm,0.22921512040158168
tb,0.23070002721342905
sj,0.23080295445133692
ana,0.2314505660485735
cbj,0.2315082528966853
ari,0.23290668905563572
nj,0.23297185951048455
pit,0.23385794070692073
chi,0.23585869540506663
wsh,0.23602560068614342
det,0.23611067127211116
van,0.23674796321428576
buf,0.23681566558299097
nyr,0.23683711056554868
stl,0.23735759709410187
bos,0.23758393605612116
nsh,0.23817387372618612
mtl,0.23844996822476996
car,0.23851173369855017
dal,0.2390878796314289
phi,0.2391251170980946
wpg,0.23962499692307065
la,0.2406795436926268
tor,0.24070745470198662
min,0.24122182176827914
nyi,0.24155720859322033
vgk,0.24231711081461282
cgy,0.2424173676116006
ott,0.24519813939273297
