team,brier_score
lad,0.2301378342039697
col,0.23204841707970708
cle,0.2362743099404592
bos,0.23649854615967547
wsh,0.23652875738972115
det,0.2368449053237565
hou,0.2368977231619691
pit,0.2373135263390321
kc,0.23785333159496758
tor,0.2384675647385378
laa,0.23925613657374942
mia,0.23928476852842148
sf,0.23932008660682444
phi,0.23938674624613238
sea,0.23952284430235346
chw,0.23966739668638715
atl,0.23979398825088047
min,0.23981698310280544
chc,0.23985802757348948
nyy,0.2401612909902172
tex,0.24023810098070147
tb,0.24031916456418206
sd,0.2405196522994603
ari,0.24063975049405326
nym,0.24096703160845073
bal,0.24250232710024622
mil,0.2426433625702447
stl,0.24277482556609933
cin,0.2428720525132239
oak,0.2435533157210165
