team,brier_score
cle,0.17669735955862426
ne,0.1794527486604613
bal,0.18132396690903607
det,0.18777068490794444
kc,0.19129897351849703
buf,0.19564010234160245
jax,0.19639272950712208
chi,0.19648161412434978
min,0.1966691135204366
cin,0.19668935006511193
car,0.2004002466413704
tb,0.2009922613392048
gb,0.20211086338808423
sf,0.20244769848875646
ten,0.20270226439653302
no,0.20353783321250524
atl,0.20535570150534
nyj,0.209218704985657
sea,0.20985116826735803
ind,0.2106114363015237
nyg,0.21090485797142403
dal,0.21131827091141858
lar,0.21243498301150043
den,0.21730620624905722
oak,0.21836260411381705
hou,0.21877155126706638
lac,0.21899137307335204
wsh,0.2222317483581531
mia,0.22395682897839606
phi,0.22626515491976767
pit,0.22676995059780491
ari,0.2285585482949705
