team,win_rate
ne,0.6518518518518519
pit,0.6408450704225352
bal,0.6402877697841727
gb,0.6231884057971014
sea,0.5971223021582733
ind,0.5895522388059702
dal,0.5874125874125874
kc,0.5864661654135338
no,0.5797101449275363
sf,0.5693430656934306
phi,0.5539568345323741
min,0.5481481481481482
mia,0.5289855072463768
lac,0.5289855072463768
buf,0.5227272727272727
atl,0.5
cin,0.4962962962962963
den,0.4714285714285714
hou,0.4701492537313433
tb,0.4642857142857143
car,0.45112781954887216
ari,0.44029850746268656
det,0.4357142857142857
ten,0.43478260869565216
lar,0.4338235294117647
nyg,0.40601503759398494
chi,0.4057971014492754
wsh,0.3939393939393939
oak,0.3900709219858156
nyj,0.3787878787878788
cle,0.3383458646616541
jax,0.32116788321167883
