team,winrate
bos,61.883
den,59.422
mia,58.967
okc,58.769
gs,58.384
lac,56.923
sa,56.240
mil,54.173
tor,53.752
hou,52.868
mem,52.833
dal,52.696
ind,52.469
utah,51.238
por,50.929
atl,50.698
chi,50.621
cle,49.923
lal,49.611
phx,47.933
phi,45.758
no,45.161
ny,43.994
orl,42.879
bkn,41.896
cha,41.348
wsh,40.791
min,40.654
sac,39.545
det,37.325
