team,winrate
ne,65.185
pit,64.085
bal,64.029
gb,62.319
sea,59.712
ind,58.955
dal,58.741
kc,58.647
no,57.971
sf,56.934
phi,55.396
min,54.815
mia,52.899
lac,52.899
buf,52.273
atl,50.000
cin,49.630
den,47.143
hou,47.015
tb,46.429
car,45.113
ari,44.030
det,43.571
ten,43.478
lar,43.382
nyg,40.602
chi,40.580
wsh,39.394
oak,39.007
nyj,37.879
cle,33.835
jax,32.117
