team,brier_score
phi,0.18367824229265894
por,0.18734128735428662
gs,0.18776917028324314
det,0.18979136472793387
hou,0.191086374720316
sa,0.19113806375338685
cle,0.19164628333296382
phx,0.19169587024515064
utah,0.1928324914083176
mil,0.19375285893195177
okc,0.19412875207264108
lac,0.19583647848513716
bkn,0.19605201381766962
cha,0.1973445357949165
mem,0.19735644186268225
orl,0.1987713306736427
den,0.19942894481309326
wsh,0.2012410160966631
ind,0.20244398711660197
sac,0.2025882991591534
tor,0.20366068507495066
min,0.20387042580379736
ny,0.20432973553527123
lal,0.20553576354300102
mia,0.20636404429577565
dal,0.2074360483729424
bos,0.20750369154955975
atl,0.20960529987671028
no,0.20993398484553025
chi,0.21249197667294165
