bin,n,favorite_roi,underdog_roi
0,0,,
1,14,2.2209,-11.4286
2,62,8.5568,-18.1613
3,123,-4.0898,-4.9593
4,137,11.3759,-12.0253
5,142,-2.8501,-7.8107
6,105,-0.4816,-6.2744
7,58,-4.785,-7.8103
8,12,-5.7274,-3.5833
9,1,25.974,-100.0
