season,n,favorite_roi,underdog_roi
2009,7,48.963,-8.839
2010,6,-8.510,-11.005
2011,13,-36.773,72.072
2012,14,-20.491,-8.347
2013,16,-4.314,-29.601
2014,17,9.547,2.000
2015,12,-11.059,20.923
2016,14,2.878,-29.141
2017,13,8.774,-26.379
2018,9,-18.998,32.333
2019,18,-23.770,11.962
2020,13,20.535,-47.230
2021,10,0.394,0.921
2022,13,-2.058,-13.846
2023,10,-19.401,19.900
2024,13,-30.969,61.321
2025,8,-0.980,-37.333
