season,n,favorite_roi,underdog_roi
2009,18,-5.485740879184171,-13.722038870553721
2010,21,-2.0693518295607816,-23.476190476190474
2011,14,17.444420532349785,-64.61224489795919
2012,15,-2.5813905623039948,-5.9333333333333345
2013,11,13.319254234096139,-59.54545454545455
2014,14,16.906719481018698,-75.8935693935694
2015,15,-40.77991324077491,61.7982683982684
2016,15,-6.372337212217085,20.533333333333328
2017,10,14.891112147507881,-58.902877697841724
2018,17,-1.3095121591531556,-17.680672268907564
2019,13,-34.91249527575274,35.15384615384616
2020,16,-10.634057386918807,-24.375000000000004
2021,17,-14.319142024179381,31.35897435897436
2022,14,-33.038347914691414,165.0
2023,18,7.795371234568256,-40.166444437036795
2024,4,16.10188664443763,-100.0
2025,21,2.5270154691506046,-34.93965282420821
