season,n,favorite_roi,underdog_roi
2009,12,-9.583333333333332,0.17857142857143166
2010,10,-32.421052631578945,2.1215085957079807
2011,13,-28.931610049849454,-0.4836479965089171
2012,10,11.620846210122542,-30.372934392233798
2013,13,-2.289475881754636,-16.541790300070623
2014,15,-50.07732220154681,19.261937133160057
2015,17,77.33148810976834,-61.33549300629271
2016,10,39.894244604316555,-26.28489778838151
2017,18,22.6593232977916,-22.120561778505493
2018,12,-29.561783485401765,-1.0881304080995478
2019,11,-45.22582083836282,20.4340080309252
2020,11,16.830847496452595,-6.1898853315096956
2021,8,9.817281309757117,-23.76685531496063
2022,18,-10.528804610536389,-18.560305788279607
2023,10,-40.96623369744298,-4.322754038728095
2024,13,3.702504695511689,-10.674927147920739
2025,6,35.10584410465633,-70.51282051282051
