bin,n,favorite_roi,underdog_roi
0,60,-2.0034,4.612
1,38,-16.6941,24.1299
2,109,5.9938,-21.0981
3,167,-3.1107,-4.0024
4,235,-3.7932,-6.4305
5,231,-1.8674,-11.6413
6,172,-1.1156,-21.5017
7,100,-7.9975,12.631
8,35,9.72,-88.8571
9,62,-1.2244,-34.1452
