season,favorite_roi,underdog_roi
2009,0.0501631427831217,-0.1373081501857327
2010,-0.07590519620534911,-0.012353623155144275
2011,-0.13621352707621476,0.052819238189228346
2012,-0.03239128738702197,-0.06494838364835637
2013,0.005697932319054018,-0.1148632854802688
2014,-0.018009966619278592,-0.051688573656325745
2015,-0.06937430158883715,0.012797273360772467
2016,0.0029065537715267553,-0.079796853649548
2017,-0.02143273478502643,-0.053955618738043165
2018,0.004757932433997331,-0.08537964786578606
2019,-0.06842353717646626,0.0031403000259463978
2020,-0.07547024350258023,0.014469795456304495
2021,-0.0382362226015399,-0.02970059201870246
2022,0.03218082129457374,-0.118534140455646
2023,-0.055182023353012734,0.004060078350520184
2024,0.02521233936411545,-0.10720713519311062
2025,0.014981483075739687,-0.10639499193272066
