season,favorite_roi,underdog_roi
2009,-0.017869483631864195,-0.055888318710851995
2010,-0.056009890784842774,-0.027848248716584516
2011,-0.00636581275035315,-0.10227860606071042
2012,-0.03340878206779422,-0.0595843165997519
2013,-0.05117066107428785,-0.029553923708776235
2014,0.06854684037108175,-0.14697540873459217
2015,0.004507571522397931,-0.0784571795027914
2016,0.07685708818058228,-0.16584765255694364
2017,-0.04212728765304683,-0.01687220620039482
2018,0.006413333928290607,-0.09582997595847999
2019,-0.03917302803316569,-0.023809338896132768
2020,-0.025676295499398094,-0.03952643416583419
2021,0.02852660588962992,-0.12268211747530314
2022,0.04971727273971431,-0.12632247870418872
2023,0.048846507356149926,-0.13247572526493792
2024,-0.007002202856410068,-0.0684004632304238
2025,-0.06560705417190267,-0.008998286296265565
