season,favorite_roi,underdog_roi
2009,-0.08268086226759289,0.12739130434782608
2010,-0.038684894431300625,-0.0276
2011,0.17850152746975723,-0.5905882352941176
2012,-0.02482825269876578,-0.08533333333333334
2013,0.004403850356160699,-0.1825
2014,0.0717418710986695,-0.26066666666666666
2015,0.09640290927802089,-0.4116071428571429
2016,-0.28082198764935246,0.584
2017,0.0027970947825424197,-0.1384090909090909
2018,0.03242036851778547,-0.138
2019,-0.04625380589500338,0.010793650793650803
2020,0.09708436601227587,-0.4236111111111111
2021,0.04739298701575735,-0.2648
2022,0.008878091892688787,-0.16042253521126762
2023,0.03564452183026669,-0.2442753623188406
2024,0.028369871013474945,-0.2404950495049505
2025,0.006088666240397641,-0.19628571428571429
