season,n,favorite_roi,underdog_roi
2009,23,-11.104,1.779
2010,13,3.290,-20.751
2011,21,23.688,-38.476
2012,28,-35.579,26.849
2013,20,-21.417,17.659
2014,20,19.449,-39.148
2015,19,-28.699,24.587
2016,26,-13.244,6.365
2017,35,13.314,-26.650
2018,19,17.834,-32.887
2019,17,7.519,-19.647
2020,10,-15.802,2.839
2021,20,13.401,-22.700
2022,18,-3.885,-2.314
2023,26,6.256,-16.038
2024,26,12.228,-23.098
2025,21,-8.557,5.429
