season,n,favorite_roi,underdog_roi
2009,25,0.27980979504256065,-27.399999999999995
2010,27,-2.4606090443769744,-19.222222222222225
2011,26,10.186227403466876,-61.96153846153846
2012,24,4.904948933613081,-41.041666666666664
2013,24,-5.966759203481233,-12.083333333333334
2014,27,-19.521724934494564,52.55555555555556
2015,29,-4.580988248738508,-13.344827586206895
2016,21,-3.494128981230473,-11.857142857142856
2017,17,-8.069591811504962,4.4705882352941195
2018,19,-0.2931582203468715,-16.105263157894736
2019,23,-12.020673616137625,10.826086956521738
2020,21,-9.719035074273853,9.761904761904763
2021,18,4.506038227319956,-42.44444444444444
2022,29,-4.314715086712138,-10.03448275862069
2023,16,28.814851640938304,-100.0
2024,18,-21.487680904372187,51.944444444444436
2025,23,5.9144012873848855,-29.608695652173918
