season,n,favorite_roi,underdog_roi
2009,11,14.997257530082234,-52.27272727272727
2010,17,-6.604519477744457,-6.882352941176471
2011,20,29.7345280590393,-74.45
2012,9,-1.9661186811145377,-9.444444444444448
2013,17,-5.49233902879104,-9.058823529411768
2014,10,30.64885683027218,-76.0
2015,15,17.931294857906853,-48.333333333333336
2016,12,36.449537361641646,-77.66666666666667
2017,11,5.770752451892046,-26.363636363636367
2018,16,-18.670485928786178,19.75
2019,16,-9.412517639054787,-0.6250000000000006
2020,21,-16.45989301229723,15.333333333333332
2021,17,-3.9667823190608313,-8.882352941176471
2022,18,-17.38369931947798,17.666666666666664
2023,14,-13.173918714658713,8.428571428571427
2024,15,-29.580126731333777,46.93333333333333
2025,23,-5.800543070571271,-6.173913043478262
