bin,n,favorite_roi,underdog_roi
0,12,0.864,81.5833
1,8,-39.0029,148.5
2,17,-20.0708,37.7724
3,31,30.5484,-60.0017
4,59,-0.9138,-7.2682
5,54,-16.8522,9.1837
6,33,-27.7631,34.0904
7,22,-8.5505,-36.8612
8,4,-10.7432,-6.25
9,12,14.4024,-61.75
