season,n,favorite_roi,underdog_roi
2009,15,-4.665,-15.733
2010,26,-36.485,48.154
2011,20,3.893,-22.400
2012,18,-41.182,55.667
2013,9,17.637,-43.000
2014,28,-18.585,19.571
2015,53,-0.796,-11.943
2016,24,-9.966,4.708
2017,31,22.856,-48.129
2018,35,-3.329,-0.571
2019,48,-0.028,-9.979
2020,46,-4.747,-3.957
2021,62,-9.811,7.242
2022,109,0.139,-8.954
2023,93,2.012,-10.505
2024,67,-6.267,-2.149
2025,67,-17.530,19.493
