season,n,favorite_roi,underdog_roi
2009,67,-8.021441576793196,-5.911352329262776
2010,264,-6.172261320421912,-8.35342056932966
2011,291,-16.725087213148154,2.954805789857337
2012,286,-8.525752705111978,-6.52627675354948
2013,183,-1.5661552233661762,-14.624109951978802
2014,258,-2.389932875042519,-7.640968559194686
2015,208,-13.843193093310765,7.893562854890211
2016,268,-7.985265861521576,0.15207486697379446
2017,242,-9.098485392094858,0.8104927841510177
2018,241,-1.6256877906839031,-8.279401386892724
2019,224,-11.818747767766821,5.049211942680131
2020,188,-15.134169240448813,11.805088796219287
2021,106,-2.4839056097972567,-1.0079825834542808
2022,166,5.160596660225312,-12.096357667558541
2023,171,-0.08443544099459346,-4.420908148041515
2024,194,-0.6751311128439874,-4.26846521176418
2025,181,2.2541026615078543,-7.910428358784626
