bin,n,favorite_roi,underdog_roi
0,1,5.9988,-100.0
1,42,4.5708,-36.5714
2,169,-1.8611,-6.9136
3,338,-1.7597,-10.3593
4,484,-1.4991,-10.259
5,658,-0.8534,-5.6354
6,697,-8.9822,-0.5106
7,556,-3.487,-2.8858
8,313,10.6306,-37.1852
9,37,5.4116,-10.0537
