bin,n,favorite_roi,underdog_roi
0,0,,
1,2,18.9894,-100.0
2,12,-26.7364,42.3333
3,25,-8.3199,9.0838
4,28,-27.4464,4.0791
5,51,11.7174,-14.8667
6,71,-17.2055,11.7588
7,39,3.9766,11.315
8,23,16.4329,-83.3478
9,0,,
