bin,n,favorite_roi,underdog_roi
0,20,47.6176,-43.4041
1,18,-7.7762,-3.3794
2,41,-6.8054,-9.2098
3,60,-12.6172,-6.595
4,79,-20.1937,11.7978
5,80,12.4402,-47.4142
6,44,14.4902,-72.4286
7,36,-17.5861,67.7215
8,12,-8.7463,-37.6667
9,29,-19.5842,19.2759
